sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score.1,v_decile_score,two_year_recid,days_custody,days_c_jail,days_r_jail
0,69,0,0,1,0,0,0,1.0,1,0,0,1,1,0,8,2,0
0,34,1,0,3,0,0,0,1.0,1,1,1,3,1,1,11,11,0
0,24,1,0,4,0,1,4,1.0,1,1,0,4,3,1,1,2,1
0,23,1,0,8,1,0,1,1.0,1,0,0,8,6,0,0,0,0
0,43,0,0,1,0,0,2,76.0,1,0,0,1,1,0,0,0,0
0,44,0,0,1,0,0,0,0.0,0,0,0,1,1,0,2,2,0
0,41,2,0,6,0,0,14,1.0,1,1,0,6,2,1,19,7,19
0,43,0,0,4,0,0,3,1.0,1,0,0,4,3,0,13,2,0
1,39,2,0,1,0,0,0,1.0,0,0,0,1,1,0,4,4,0
0,21,2,0,3,0,0,1,308.0,1,1,1,3,5,1,2,2,2
0,27,2,0,4,0,0,0,1.0,1,0,0,4,4,0,2,2,0
0,23,1,0,6,0,0,3,0.0,0,1,0,6,4,1,5,5,0
1,37,2,0,1,0,0,0,0.0,0,0,0,1,1,0,2,2,0
0,41,1,0,4,0,0,0,1.0,1,0,0,4,2,0,2,2,0
1,47,2,0,1,0,0,1,490.0,1,1,0,1,1,1,170,15,170
0,31,1,0,3,0,0,7,71.0,1,1,0,3,2,1,4,4,4
0,37,3,0,1,0,0,0,0.0,0,0,0,1,1,0,1,1,0
0,25,1,0,10,0,0,3,1.0,1,0,0,10,9,0,63,2,0
0,31,2,0,5,0,0,6,1.0,1,1,1,5,4,1,2,2,0
0,31,2,0,3,0,0,5,1.0,1,1,0,3,2,1,32,2,35
0,64,1,0,6,0,0,13,1.0,1,1,0,6,3,1,2,2,2
0,21,1,0,9,0,0,1,1.0,1,1,0,9,9,1,2,4,2
0,27,2,0,2,0,0,0,0.0,0,1,0,2,3,1,1,1,0
1,21,2,0,4,0,0,0,2.0,1,0,0,4,5,0,2,2,0
0,24,3,0,4,0,0,1,1.0,1,1,0,4,5,1,2,2,0
0,43,2,0,1,0,0,1,1.0,0,0,0,1,2,0,2,2,0
0,32,0,0,3,0,0,0,1.0,0,0,0,3,4,0,3,3,0
0,27,1,0,3,0,0,8,1.0,1,1,1,3,3,1,2,18,0
1,36,2,0,3,0,0,3,95.0,1,0,0,3,1,0,2,2,0
0,26,1,0,7,0,1,5,1.0,1,1,0,7,7,1,9,2,28
0,33,1,0,10,0,0,0,1.0,1,1,1,10,6,1,22,39,0
0,30,2,0,9,0,0,9,0.0,1,1,0,9,10,1,2,45,2
0,32,1,0,8,0,0,4,1.0,1,1,0,8,3,1,3,2,3
0,55,2,0,1,0,0,0,1.0,1,0,0,1,1,0,3,3,0
0,49,0,0,3,0,0,7,0.0,1,1,0,3,2,1,2,5,0
